,lr,weight_decay,elasticity,bounding_box_size,num_samples,mean,std
0,1e-07,0.0,0.0,,3200,3600.703857421875,37.95595932006836
1,1e-07,0.0,0.0,0.5,3200,3571.9833984375,89.3441390991211
2,1e-07,0.0,0.0,1.0,3200,4049.1875,72.74613189697266
3,1e-07,0.0,0.1,,3200,3571.528076171875,48.47158432006836
4,1e-07,0.0,0.1,0.5,3200,3320.38232421875,89.87834930419922
5,1e-07,0.0,0.1,1.0,3200,3402.568603515625,92.2071304321289
6,1e-07,0.0,1.0,,3200,3271.871337890625,43.17469787597656
7,1e-07,0.0,1.0,0.5,3200,3677.44384765625,74.89299011230469
8,1e-07,0.0,1.0,1.0,3200,3678.883056640625,95.73905944824219
9,1e-07,0.01,0.0,,3200,3577.13330078125,46.28293991088867
10,1e-07,0.01,0.0,0.5,3200,3176.367431640625,68.37164306640625
11,1e-07,0.01,0.0,1.0,3200,3454.443603515625,85.32218933105469
12,1e-07,0.01,0.1,,3200,3600.9775390625,68.61687469482422
13,1e-07,0.01,0.1,0.5,3200,4126.5751953125,44.3771858215332
14,1e-07,0.01,0.1,1.0,3200,2747.391357421875,76.43597412109375
15,1e-07,0.01,1.0,,3200,3553.23388671875,64.13835144042969
16,1e-07,0.01,1.0,0.5,3200,3290.88427734375,56.65613555908203
17,1e-07,0.01,1.0,1.0,3200,3491.25146484375,99.36344909667969
18,1e-07,0.1,0.0,,3200,3370.04443359375,88.20065307617188
19,1e-07,0.1,0.0,0.5,3200,3514.695556640625,45.80198669433594
20,1e-07,0.1,0.0,1.0,3200,3394.44580078125,69.28852844238281
21,1e-07,0.1,0.1,,3200,3308.477783203125,77.08958435058594
22,1e-07,0.1,0.1,0.5,3200,2882.24169921875,106.24492645263672
23,1e-07,0.1,0.1,1.0,3200,2716.669677734375,75.58531188964844
24,1e-07,0.1,1.0,,3200,3842.07421875,38.98713684082031
25,1e-07,0.1,1.0,0.5,3200,3419.647705078125,44.18684387207031
26,1e-07,0.1,1.0,1.0,3200,3373.180908203125,96.08580017089844
27,1e-05,0.0,0.0,,3200,-1689.6920166015625,663.5309448242188
28,1e-05,0.0,0.0,0.5,3200,-172.4957733154297,802.8214721679688
29,1e-05,0.0,0.0,1.0,3200,1908.98779296875,330.2082824707031
30,1e-05,0.0,0.1,,3200,-272.8270568847656,1151.3223876953125
