,lr,diffusion_factor,bounding_box_size,num_samples,mean,std
0,1e-07,0.001,,3200,6586.20263671875,202.82579040527344
1,1e-07,0.001,0.5,3200,6486.82275390625,132.1635284423828
2,1e-07,0.001,1.0,3200,4253.615234375,370.6656799316406
3,1e-07,0.01,,3200,5736.2392578125,396.5117492675781
4,1e-07,0.01,0.5,3200,5403.958984375,202.93478393554688
5,1e-07,0.01,1.0,3200,5410.1591796875,343.1590881347656
6,1e-07,0.1,,3200,2644.551513671875,68.7877426147461
7,1e-07,0.1,0.5,3200,1972.669189453125,63.598594665527344
8,1e-07,0.1,1.0,3200,2571.31982421875,71.98760986328125
9,1e-05,0.001,,3200,59793348.0,84912024.0
10,1e-05,0.001,0.5,3200,7671.68896484375,2002.4884033203125
11,1e-05,0.001,1.0,3200,25458.52734375,3329.100830078125
12,1e-05,0.01,,3200,441507.0625,725713.5625
13,1e-05,0.01,0.5,3200,6822.8818359375,1261.4676513671875
14,1e-05,0.01,1.0,3200,13029.4384765625,2935.451416015625
15,1e-05,0.1,,3200,9682.33203125,31088.783203125
16,1e-05,0.1,0.5,3200,-2620.574951171875,186.2434539794922
17,1e-05,0.1,1.0,3200,-662.6967163085938,247.3391571044922
18,0.001,0.001,,3200,,
19,0.001,0.001,0.5,3200,-71810.7109375,3400.7841796875
20,0.001,0.001,1.0,3200,-9908.83984375,27228.265625
21,0.001,0.01,,3200,,
22,0.001,0.01,0.5,3200,29620.984375,5502.07373046875
23,0.001,0.01,1.0,3200,-268927.4375,47925.35546875
24,0.001,0.1,,3200,,
25,0.001,0.1,0.5,3200,-64043.8046875,4875.7490234375
26,0.001,0.1,1.0,3200,-169537.921875,31564.619140625
27,0.1,0.001,,3200,,
28,0.1,0.001,0.5,3200,-1365872.0,471584.78125
29,0.1,0.001,1.0,3200,,
30,0.1,0.01,,3200,,
31,0.1,0.01,0.5,3200,,
32,0.1,0.01,1.0,3200,,
33,0.1,0.1,,3200,,
34,0.1,0.1,0.5,3200,-3065.9912109375,289625.03125
35,0.1,0.1,1.0,3200,,
