,mean,std,chain_0,chain_1,chain_2,chain_3,chain_4,model,shuffle_id
0,-4151.61865234375,60.957950592041016,-4228.048828125,-4112.37060546875,-4129.615234375,-4202.68994140625,-4085.368408203125,gpt2-xl,0
1,-3619.321044921875,40.53834533691406,-3601.623779296875,-3659.57763671875,-3562.02783203125,-3617.27197265625,-3656.103271484375,gpt2-large,0
2,-3764.18603515625,121.87409973144531,-3775.029296875,-3671.86572265625,-3613.32373046875,-3902.9638671875,-3857.748046875,gpt2-medium,0
3,-4370.8486328125,53.49143981933594,-4282.798828125,-4369.61865234375,-4423.19287109375,-4377.71630859375,-4400.91552734375,gpt2,0
4,-365.4342346191406,48.548492431640625,-419.16937255859375,-290.1846923828125,-372.80487060546875,-353.4862060546875,-391.52606201171875,gpt2-xl,1
5,-1079.8868408203125,120.89231872558594,-1100.305419921875,-1235.5760498046875,-1096.4017333984375,-1070.1180419921875,-897.0328369140625,gpt2-large,1
6,-1257.7557373046875,109.51580810546875,-1337.549072265625,-1119.231201171875,-1330.74853515625,-1158.4586181640625,-1342.7906494140625,gpt2-medium,1
7,-771.81591796875,97.16959381103516,-786.1241455078125,-757.258544921875,-846.0444946289062,-614.1930541992188,-855.4594116210938,gpt2,1
8,3586.895263671875,55.066932678222656,3669.22509765625,3595.576416015625,3576.71142578125,3515.61376953125,3577.34912109375,gpt2-xl,2
9,3169.16845703125,94.95628356933594,3245.794189453125,3023.306396484375,3254.673828125,3133.8671875,3188.199951171875,gpt2-large,2
10,858.197265625,133.18045043945312,817.2273559570312,656.12646484375,904.482177734375,1015.4744262695312,897.67626953125,gpt2-medium,2
11,483.1434631347656,57.29623794555664,488.9066162109375,513.20263671875,558.1293334960938,442.4455871582031,413.0330505371094,gpt2,2
12,2896.435546875,59.04367446899414,2851.51220703125,2816.91796875,2946.7314453125,2920.7587890625,2946.2568359375,gpt2-xl,3
13,2688.8203125,43.48207473754883,2754.425048828125,2640.820068359375,2679.197509765625,2705.205078125,2664.4541015625,gpt2-large,3
14,2420.4990234375,62.59629821777344,2511.829345703125,2435.278076171875,2360.7080078125,2432.453125,2362.2265625,gpt2-medium,3
15,798.829345703125,116.04081726074219,938.9119873046875,890.2001342773438,719.3928833007812,786.1666870117188,659.4750366210938,gpt2,3
